user_id,position_number,eff_dt,reports_to_position_number
925,36984,1/1/2005 12:00:00 AM,34498
925,36984,1/28/2005 4:45:51 AM,34498
925,36984,7/9/2005 7:08:38 AM,34498
925,36984,7/9/2005 7:08:40 AM,34498
925,36984,7/9/2005 7:08:41 AM,34498
925,36984,7/9/2005 8:33:53 AM,34498
925,36984,7/9/2005 8:33:54 AM,34498
925,36984,7/9/2005 8:33:55 AM,34498
925,36984,1/3/2006 4:46:11 AM,34498
925,36984,1/3/2006 12:26:22 PM,34498
925,36984,1/3/2006 12:26:23 PM,34498
925,76357,8/15/2006 12:00:00 AM,36052
925,76357,8/15/2006 4:46:14 AM,36052
925,76357,8/15/2006 4:46:14 AM,36052
925,76357,8/15/2006 4:46:14 AM,36052
925,76357,8/22/2006 4:46:25 AM,36052
925,76357,4/5/2007 12:00:00 AM,22266
925,76357,4/6/2007 4:46:05 AM,22266
925,76357,4/6/2007 4:46:05 AM,22266
925,76357,4/6/2007 4:46:05 AM,22266
925,76357,7/2/2007 12:00:00 AM,82670
925,76357,12/8/2007 5:09:46 AM,82670
925,76357,9/11/2010 6:14:09 AM,82670
925,105301,12/3/2010 12:00:00 AM,93672
925,105301,12/4/2010 4:45:41 AM,93672
925,105301,12/4/2010 4:45:41 AM,93672
925,105301,12/4/2010 4:45:41 AM,93672
925,105301,12/10/2011 6:00:25 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,2/11/2012 5:14:27 AM,93672
925,105301,9/10/2012 8:15:27 AM,93672
925,105301,9/10/2012 8:15:28 AM,93672
925,105301,12/10/2011 6:00:25 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,2/11/2012 5:14:27 AM,93672
925,105301,9/10/2012 8:15:27 AM,93672
925,105301,9/10/2012 8:15:28 AM,93672
925,105301,12/10/2011 6:00:25 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,2/11/2012 5:14:27 AM,93672
925,105301,9/10/2012 8:15:27 AM,93672
925,105301,9/10/2012 8:15:28 AM,93672
925,105301,12/10/2011 6:00:25 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/10/2011 6:00:25 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,2/11/2012 5:14:27 AM,93672
925,105301,9/10/2012 8:15:27 AM,93672
925,105301,9/10/2012 8:15:28 AM,93672
925,105301,12/10/2011 6:00:25 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,12/31/2011 4:45:39 AM,93672
925,105301,2/11/2012 5:14:27 AM,93672
925,105301,9/10/2012 8:15:27 AM,93672
925,105301,9/10/2012 8:15:28 AM,93672
925,105301,12/10/2011 6:00:25 AM,93672
925,105301,12/11/2011 6:00:25 AM,93673
925,105301,12/12/2011 6:00:25 AM,93674
925,105301,12/13/2011 6:00:25 AM,93675
925,105301,12/14/2011 6:00:25 AM,93676
925,105301,12/15/2011 6:00:25 AM,93677
925,105301,12/16/2011 6:00:25 AM,93678
925,105301,12/17/2011 6:00:25 AM,93679
925,105301,12/18/2011 6:00:25 AM,93680
925,105301,12/19/2011 6:00:25 AM,93681
925,105301,12/20/2011 6:00:25 AM,93682
925,105301,12/21/2011 6:00:25 AM,93683
925,105301,12/22/2011 6:00:25 AM,93684
925,105301,12/23/2011 6:00:25 AM,93685
1925,105301,9/10/2012 8:15:28 AM,93672
1925,105301,9/11/2012 8:15:28 AM,93673
1925,105301,9/12/2012 8:15:28 AM,93674
1925,105301,9/13/2012 8:15:28 AM,93675
1925,105301,9/14/2012 8:15:28 AM,93676
1925,105301,9/15/2012 8:15:28 AM,93676
1925,105301,9/16/2012 8:15:28 AM,93676
1925,105301,9/17/2012 8:15:28 AM,93676
1925,105301,9/18/2012 8:15:28 AM,93676
1925,105301,9/19/2012 8:15:28 AM,93676
1925,105301,9/20/2012 8:15:28 AM,93676
1925,105301,9/21/2012 8:15:28 AM,93676
1925,105301,9/22/2012 8:15:28 AM,93676
1925,105301,9/23/2012 8:15:28 AM,93676
1925,105301,9/24/2012 8:15:28 AM,93676
1925,105301,9/25/2012 8:15:28 AM,93676
1925,105301,9/26/2012 8:15:28 AM,93676
1925,105301,9/27/2012 8:15:28 AM,93676
1925,105301,9/28/2012 8:15:28 AM,93676
1925,105301,9/29/2012 8:15:28 AM,93676
1925,105301,9/30/2012 8:15:28 AM,93676
1925,105301,10/1/2012 8:15:28 AM,93676
1925,105301,10/2/2012 8:15:28 AM,93676
1925,105301,10/3/2012 8:15:28 AM,93676
1925,105301,10/4/2012 8:15:28 AM,93676
1925,105301,10/5/2012 8:15:28 AM,93676
1925,105301,10/6/2012 8:15:28 AM,93676
1925,105301,10/7/2012 8:15:28 AM,93699
1925,105301,10/8/2012 8:15:28 AM,93700
1925,105301,10/9/2012 8:15:28 AM,93701
1925,105301,10/10/2012 8:15:28 AM,93702
1925,105301,10/11/2012 8:15:28 AM,93703
1925,105301,10/12/2012 8:15:28 AM,93704
1925,105301,10/13/2012 8:15:28 AM,93705
1925,105301,10/14/2012 8:15:28 AM,93706
1925,105301,10/15/2012 8:15:28 AM,93707
1925,105301,10/16/2012 8:15:28 AM,93708
1925,105301,10/17/2012 8:15:28 AM,93709
1925,105301,10/18/2012 8:15:28 AM,93710
1925,105301,10/19/2012 8:15:28 AM,93711
1925,105301,10/20/2012 8:15:28 AM,93712
1925,105301,10/21/2012 8:15:28 AM,93713
1925,105301,10/22/2012 8:15:28 AM,93714
1925,105301,10/23/2012 8:15:28 AM,93715
1925,105301,10/24/2012 8:15:28 AM,93716
1925,105301,10/25/2012 8:15:28 AM,93717
1925,105301,10/26/2012 8:15:28 AM,93718
1925,105301,10/27/2012 8:15:28 AM,93719
1925,105301,10/28/2012 8:15:28 AM,93720
1925,105301,10/29/2012 8:15:28 AM,93721
1925,105301,10/30/2012 8:15:28 AM,93722
1925,105301,10/31/2012 8:15:28 AM,93723
1925,105301,11/1/2012 8:15:28 AM,93724
1925,105301,11/2/2012 8:15:28 AM,93725
1925,105301,11/3/2012 8:15:28 AM,93726
1925,105301,11/4/2012 8:15:28 AM,93727
1925,105301,11/5/2012 8:15:28 AM,93728
1925,105301,11/6/2012 8:15:28 AM,93729
1925,105301,11/7/2012 8:15:28 AM,93730
1925,105301,11/8/2012 8:15:28 AM,93731
1925,105301,11/9/2012 8:15:28 AM,93732
1925,105301,11/10/2012 8:15:28 AM,93733
1925,105301,11/11/2012 8:15:28 AM,93734
1925,105301,11/12/2012 8:15:28 AM,93735
1925,105301,11/13/2012 8:15:28 AM,93736
1925,105301,11/14/2012 8:15:28 AM,93737
1925,105301,11/15/2012 8:15:28 AM,93738
1925,105301,11/16/2012 8:15:28 AM,93739
1925,105301,11/17/2012 8:15:28 AM,93740
1925,105301,11/18/2012 8:15:28 AM,93741
1925,105301,11/19/2012 8:15:28 AM,93742
1925,105301,11/20/2012 8:15:28 AM,93743
1925,105301,11/21/2012 8:15:28 AM,93744
1925,105301,11/22/2012 8:15:28 AM,93745
1925,105301,11/23/2012 8:15:28 AM,93746
1925,105301,11/24/2012 8:15:28 AM,93747
1925,105301,11/25/2012 8:15:28 AM,93748
1925,105301,11/26/2012 8:15:28 AM,93749
1925,105301,11/27/2012 8:15:28 AM,93750
1925,105301,11/28/2012 8:15:28 AM,93751
1925,105301,11/29/2012 8:15:28 AM,93752
1925,105301,11/30/2012 8:15:28 AM,93753
1925,105301,12/1/2012 8:15:28 AM,93754
1925,105301,12/2/2012 8:15:28 AM,93755
1925,105301,12/3/2012 8:15:28 AM,93756
1925,105301,12/4/2012 8:15:28 AM,93757
1925,105301,12/5/2012 8:15:28 AM,93758
1925,105301,12/6/2012 8:15:28 AM,93759
1925,105301,12/7/2012 8:15:28 AM,93760
1925,105301,12/8/2012 8:15:28 AM,93761
1925,105301,12/9/2012 8:15:28 AM,93762
1925,105301,12/10/2012 8:15:28 AM,93763
1925,105301,12/11/2012 8:15:28 AM,93764
1925,105301,12/12/2012 8:15:28 AM,93765
1925,105301,12/13/2012 8:15:28 AM,93766
1925,105301,12/14/2012 8:15:28 AM,93767
1925,105301,12/15/2012 8:15:28 AM,93768
1925,105301,12/16/2012 8:15:28 AM,93769
1925,105301,12/17/2012 8:15:28 AM,93770
1925,105301,12/18/2012 8:15:28 AM,93771
1925,105301,12/19/2012 8:15:28 AM,93772
1925,105301,12/20/2012 8:15:28 AM,93773
1925,105301,12/21/2012 8:15:28 AM,93774
1925,105301,12/22/2012 8:15:28 AM,93775
1925,105301,12/23/2012 8:15:28 AM,93776
1925,105301,12/24/2012 8:15:28 AM,93777
1925,105301,12/25/2012 8:15:28 AM,93778
1925,105301,12/26/2012 8:15:28 AM,93779
1925,105301,12/27/2012 8:15:28 AM,93780
1925,105301,12/28/2012 8:15:28 AM,93781
1925,105301,12/29/2012 8:15:28 AM,93782
1925,105301,12/30/2012 8:15:28 AM,93783
1925,105301,12/31/2012 8:15:28 AM,93784
1925,105301,1/1/2013 8:15:28 AM,93785
1925,105301,1/2/2013 8:15:28 AM,93786
1925,105301,1/3/2013 8:15:28 AM,93787
1925,105301,1/4/2013 8:15:28 AM,93788
1925,105301,1/5/2013 8:15:28 AM,93789
1925,105301,1/6/2013 8:15:28 AM,93790
1925,105301,1/7/2013 8:15:28 AM,93791
1925,105301,1/8/2013 8:15:28 AM,93792
1925,105301,1/9/2013 8:15:28 AM,93793
1925,105301,1/10/2013 8:15:28 AM,93794
1925,105301,1/11/2013 8:15:28 AM,93795
1925,105301,1/12/2013 8:15:28 AM,93796
1925,105301,1/13/2013 8:15:28 AM,93797
1925,105301,1/14/2013 8:15:28 AM,93798
1925,105301,1/15/2013 8:15:28 AM,93799
1925,105301,1/16/2013 8:15:28 AM,93800
1925,105301,1/17/2013 8:15:28 AM,93801
1925,105301,1/18/2013 8:15:28 AM,93802
1925,105301,1/19/2013 8:15:28 AM,93803
1925,105301,1/20/2013 8:15:28 AM,93804
1925,105301,1/21/2013 8:15:28 AM,93805
1925,105301,1/22/2013 8:15:28 AM,93806
1925,105301,1/23/2013 8:15:28 AM,93807
1925,105301,1/24/2013 8:15:28 AM,93808
1925,105301,1/25/2013 8:15:28 AM,93809
1925,105301,1/26/2013 8:15:28 AM,93810
1925,105301,1/27/2013 8:15:28 AM,93811
1925,105301,1/28/2013 8:15:28 AM,93812
1925,105301,1/29/2013 8:15:28 AM,93813
1925,105301,1/30/2013 8:15:28 AM,93814
1925,105301,1/31/2013 8:15:28 AM,93815
1925,105301,2/1/2013 8:15:28 AM,93816
1925,105301,2/2/2013 8:15:28 AM,93817
1925,105301,2/3/2013 8:15:28 AM,93818
1925,105301,2/4/2013 8:15:28 AM,93818
1925,105301,2/5/2013 8:15:28 AM,93818
1925,105301,2/6/2013 8:15:28 AM,93818
1925,105301,2/7/2013 8:15:28 AM,93818
1925,105301,2/8/2013 8:15:28 AM,93818
1925,105301,2/9/2013 8:15:28 AM,93818
1925,105301,2/10/2013 8:15:28 AM,93818
1925,105301,2/11/2013 8:15:28 AM,93818
1925,105301,2/12/2013 8:15:28 AM,93818
1925,105301,2/13/2013 8:15:28 AM,93818
1925,105301,2/14/2013 8:15:28 AM,93818
1925,105301,2/15/2013 8:15:28 AM,93818
1925,105301,2/16/2013 8:15:28 AM,93818
1925,105301,2/17/2013 8:15:28 AM,93818
1925,105301,2/18/2013 8:15:28 AM,93818
1925,105301,2/19/2013 8:15:28 AM,93818
1925,105301,2/20/2013 8:15:28 AM,93818
1925,105301,2/21/2013 8:15:28 AM,93818
1925,105301,2/22/2013 8:15:28 AM,93818
1925,105301,2/23/2013 8:15:28 AM,93818
1925,105301,2/24/2013 8:15:28 AM,93818
1925,105301,2/25/2013 8:15:28 AM,93818
1925,105301,2/26/2013 8:15:28 AM,93818
1925,105301,2/27/2013 8:15:28 AM,93818
1925,105301,2/28/2013 8:15:28 AM,93818
1925,105301,3/1/2013 8:15:28 AM,93818
1925,105301,3/2/2013 8:15:28 AM,93818
1925,105301,3/3/2013 8:15:28 AM,93818
1925,105301,3/4/2013 8:15:28 AM,93818
1925,105301,3/5/2013 8:15:28 AM,93818
1925,105301,3/6/2013 8:15:28 AM,93818
1925,105301,3/7/2013 8:15:28 AM,93818
1925,105301,3/8/2013 8:15:28 AM,93818
